Sample ID,Treatment,Treatment Details,Barcode,antibody,replicate,Flag,Normalized
BJ_01,Untreated,Untreated rep 1,21403,AP7530a,0,0,1111
BJ_01,Untreated,Untreated rep 1,21403,AP7530a,1,0,990
BJ_01,Untreated,Untreated rep 1,21403,AP7531a,0,0,4860
BJ_01,Untreated,Untreated rep 1,21403,AP7531a,1,0,3283
BJ_01,Untreated,Untreated rep 1,21403,AP7532a,0,0,2792
BJ_01,Untreated,Untreated rep 1,21403,AP7532a,1,0,3333
BJ_01,Untreated,Untreated rep 1,21403,AP7534a,0,0,3366
BJ_01,Untreated,Untreated rep 1,21403,AP7534a,1,0,2980
BJ_01,Untreated,Untreated rep 1,21403,AP7535a,0,0,1639
BJ_01,Untreated,Untreated rep 1,21403,AP7535a,1,0,1373
BJ_01,Untreated,Untreated rep 1,21403,AP7536b,0,0,2251
BJ_01,Untreated,Untreated rep 1,21403,AP7536b,1,0,1846
BJ_01,Untreated,Untreated rep 1,21403,AP7542b,0,0,61
BJ_01,Untreated,Untreated rep 1,21403,AP7542b,1,0,81
BJ_01,Untreated,Untreated rep 1,21403,AP7547b,0,0,3334
BJ_01,Untreated,Untreated rep 1,21403,AP7547b,1,0,3307
BJ_01,Untreated,Untreated rep 1,21403,AP7606b,0,0,2511
BJ_01,Untreated,Untreated rep 1,21403,AP7606b,1,0,2357
BJ_01,Untreated,Untreated rep 1,21403,AP7607b,0,0,1077
BJ_01,Untreated,Untreated rep 1,21403,AP7607b,1,0,1333
BJ_01,Untreated,Untreated rep 1,21403,AP7608a,0,0,1470
BJ_01,Untreated,Untreated rep 1,21403,AP7608a,1,0,2063
BJ_01,Untreated,Untreated rep 1,21403,AP7608b,0,0,2202
BJ_01,Untreated,Untreated rep 1,21403,AP7608b,1,0,1508
BJ_01,Untreated,Untreated rep 1,21403,AP7609a,0,0,2290
BJ_01,Untreated,Untreated rep 1,21403,AP7609a,1,0,1812
BJ_01,Untreated,Untreated rep 1,21403,AP7609b,0,0,1434
BJ_01,Untreated,Untreated rep 1,21403,AP7609b,1,0,1478
BJ_01,Untreated,Untreated rep 1,21403,AP7610a,0,0,1373
BJ_01,Untreated,Untreated rep 1,21403,AP7610a,1,0,1149
BJ_01,Untreated,Untreated rep 1,21403,AP7610b,0,0,2023
BJ_01,Untreated,Untreated rep 1,21403,AP7610b,1,0,1509
BJ_01,Untreated,Untreated rep 1,21403,AP7611a,0,0,1421
BJ_01,Untreated,Untreated rep 1,21403,AP7611a,1,0,1004
BJ_01,Untreated,Untreated rep 1,21403,AP7611b,0,0,1197
BJ_01,Untreated,Untreated rep 1,21403,AP7611b,1,0,993
BJ_01,Untreated,Untreated rep 1,21403,AP7612a,0,0,1796
BJ_01,Untreated,Untreated rep 1,21403,AP7612a,1,0,2079
BJ_01,Untreated,Untreated rep 1,21403,AP7613a,0,0,1694
BJ_01,Untreated,Untreated rep 1,21403,AP7613a,1,0,1107
BJ_01,Untreated,Untreated rep 1,21403,AP7613b,0,0,659
BJ_01,Untreated,Untreated rep 1,21403,AP7613b,1,0,884
BJ_01,Untreated,Untreated rep 1,21403,AP7622a,0,0,597
BJ_01,Untreated,Untreated rep 1,21403,AP7622a,1,0,748
BJ_01,Untreated,Untreated rep 1,21403,AP7623a,0,0,2733
BJ_01,Untreated,Untreated rep 1,21403,AP7623a,1,0,2369
BJ_01,Untreated,Untreated rep 1,21403,AP7623b,0,0,168
BJ_01,Untreated,Untreated rep 1,21403,AP7623b,1,0,148
BJ_01,Untreated,Untreated rep 1,21403,AP7624a,0,0,2066
BJ_01,Untreated,Untreated rep 1,21403,AP7624a,1,0,1505
BJ_01,Untreated,Untreated rep 1,21403,AP7625a,0,0,2016
BJ_01,Untreated,Untreated rep 1,21403,AP7625a,1,0,1638
BJ_01,Untreated,Untreated rep 1,21403,AP7627a,0,0,1363
